Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
z3ls2C3i0_U,Minecraft Gameplay || Cave || Underground Lava Fall || #imvickykumar999,"Mar 25, 2023",21,0.3765,0,765,1.57
Oc0B0YgzbW4,Minecraft Gameplay || Cave || Underground Lava || Scooba Diving || #imvickykumar999 || #minecraft,"Mar 25, 2023",19,0.4158,0,339,2.36
wkCbrggwmn0,Minecraft Gameplay || Path to Underground Lavafall 🔥,"Mar 27, 2023",18,2.0957,0,316,1.58
BcU-i9GLxjQ,InternshipDetails.CSV into InternshipDetails.AVI | YOUTUBE AS INFINITE FILE STORAGE #imvickykumar999,"Apr 13, 2023",15,0.0643,0,38,15.79
cuJqNN1k3QY,Download Reels in Flask on Android App || #imvickykumar999,"Mar 21, 2023",15,0.2308,0,349,0
kDru67cZsh4,Minecraft Java Edition || Gameplay || Underground Cave and Lavafall,"Mar 26, 2023",13,0.396,0,248,2.02
8Vo4x6_Yqkk,Solving 2x2 Rubix Cube (even Faster),"Feb 28, 2023",12,0.107,0,131,6.87
uHvtl3Ky0aw,Soon Wireless Mobile Access || #imvickykumar999 || #pythonprogramming,"Mar 29, 2023",11,0.0526,0,53,0
Tri_bp0lRlQ,Keyevents.py || #imvickykumar999,"Mar 28, 2023",10,0.1308,0,14,0
Zu5lhwfNCew,Example of Video made from Pictory.AI and OpenAI,"Mar 6, 2023",7,0.1214,0,97,2.06
l7x02mYoD1E,🎉🪩 Vestido Sobe Song || Audio Visualizer || Ursina Engine || Python Language || #imvickykumar999 🎊,"Mar 16, 2023",7,0.0485,0,124,2.42
qKgPszdX3Tk,Rico vs Wild || JC2 Gameplay || (testing),"Mar 27, 2023",7,0.1071,0,93,4.3
wvgD_b5p_3w,Attendance Management System using Face Recognition,"Apr 27, 2022",6,0.0565,0,116,3.45
zhAnZmMX3jk,Visualise Audio || Imagine Dragons Believer || Ursina Engine || #imvickykumar999,"Mar 15, 2023",6,0.0411,0,99,2.02
33voLDTmqn8,Download Reels in Flask Framework || #imvickykumar999,"Apr 6, 2023",5,0.0349,0,133,1.5
Dj5vWQsp6e4,Tutorial to Solve 3x3 Rubix Cube,"Mar 8, 2023",5,0.0032,0,51,3.92
b-LBkXIIx8c,Rotating Textures in Ursina Engine || Python 3D Pandas,"Mar 3, 2023",5,0.0106,0,40,5
cSxuBdDtMAk,Database.SQL into Database.AVI back into Database.TXT || Infinite File Storage || #imvickykumar999,"Apr 15, 2023",5,0.0151,0,215,0
u_F27mOMsxI,Rolex song in English and Hindi with lyrics.,"Jan 12, 2018",5,0.0361,0,87,4.6
14v8PQKhJMw,4 Algorithms to Solve 3x3 Rubix Cube,"Mar 7, 2023",4,0.1287,0,112,2.68
JaEmesqWBMc,Flask Framework || Create Home Automation || Fully Explained || ESP32 || #imvickykumar999,"May 14, 2021",4,0.0432,0,20,15
k-Tks_Y-VIA,Wireless Remote Control Car || NodeMCU || #imvickykumar999 || Pawrii ho rhi hai || #YashrajMukhate,"Feb 19, 2021",4,0.026,0,20,5
zxHIX7OsW4M,Internet of things || #ESP32 Microcontroller || LED Controller || Android App || Firebase || #Shorts,"Oct 19, 2021",4,0.0127,0,18,5.56
ogPPGZFvhgs,README.MD into README.AVI back to README.TXT || Infinite File Storage Glitch || #imvickykumar999,"Apr 15, 2023",3,0.002,0,1,100
v5arWaMA0rQ,Panda3D Game || Python Language || #imvickykumar999,"Mar 9, 2023",3,0.0159,0,33,3.03
z6kT2wPP3S8,jupyterfile.ipynb into jupyterfile.AVI || YOUTUBE AS INFINITE FILE STORAGE || #imvickykumar999,"Apr 15, 2023",3,0.0341,1,7,0
E25oL5QLzfE,9 November 2021,"Feb 28, 2023",2,0.0084,1,10,10
GINAGWce3AU,#imvickykumar999 || Sketching,"Feb 7, 2023",2,0.0146,0,9,0
MVW3oLkZTKM,config.YML into config.AVI back to config.TXT || Infinite File Storage || #imvickykumar999,"Apr 15, 2023",2,0.0046,0,1,0
N78eiyfkDTY,Just Cause 4 review Play || Video Created by pictory.ai,"Mar 6, 2023",2,0.0142,0,4,25
VD683iLkF-M,Falling From Building Simulation || Gameplay || Ursina Engine || Python Language || #imvickykumar999,"Mar 9, 2023",2,0.0138,0,31,3.23
Wr-LOuIybH0,Real Time Car Parking System || IOT || Hackathon || Explaination,"Apr 4, 2021",2,0.033,0,8,25
ZuegCTimBuE,"Just Cause 2 || Crashing Plane, Car, Bike and Boat","Feb 27, 2023",2,0.0356,0,7,14.29
dU0y-jJmdPI,Falling and Screaming from Tower in Garden Simulation || Ursina Engine || #imvickykumar999,"Mar 9, 2023",2,0.013,1,31,6.45
eOtUhJXLH2Q,Just Cause 2 || Crashing Everything,"Feb 28, 2023",2,0.0074,0,6,0
eP5-W28tCzQ,Solving 2x2 Rubix Pyramid,"Feb 25, 2023",2,0.0053,0,13,15.38
jA-PjrfBb3g,My Live stream with DU Recorder,"Feb 28, 2019",2,0.0053,0,1,0
saT1CHywGGI,Download Reels in Flask Framework || #imvickykumar999,"Apr 6, 2023",2,0.0432,0,99,1.01
-IRN0ctHg_s,Solving 3x3 Rubix Pyramid,"Feb 26, 2023",1,0.0017,0,8,12.5
0QTPDjOp5uQ,Solving 2x2 Rubix Cube and Pyramids,"Mar 9, 2023",1,0.0009,0,6,0
1X9KYW-j2EU,Automate Mobile Charging and Home Automation with ESP32 and Relay Module. #imvickykumar999 #jaipur,"Feb 28, 2023",1,0.0056,0,12,0
1yEQ5F32r98,JC2,"Dec 26, 2021",1,0.0019,0,3,0
75Kp7YR0g98,Need For Speed Most Wanted 2012,"Jun 3, 2021",1,0.0018,0,2,0
EKPLhCEka3g,Evehi kar diya upload 🤨,"Aug 18, 2022",1,0.0018,0,4,0
Gwr20QEhvRI,Remote Home Automation over Wi-Fi via Android App || #imvickykumar999,"May 7, 2022",1,0.0014,0,5,0
KIlpimZQpdE,Just Cause 4 || #imvickykumar999,"Jun 13, 2020",1,0.001,0,2,0
TFVBYuLAMCY,Home Automation || Google Assistant || Adafruit || Firebase || IFTTT || Android App || ESP32 LED,"May 11, 2021",1,0.0019,0,12,8.33
UYLSsXQgLAc,Just Cause 2 || Completing All Missions,"Dec 11, 2022",1,0.0371,0,7,0
cuKL3dmMlL8,Heroku || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",1,0.0034,0,10,10
gVWlV1j563Q,8 November 2021,"Feb 28, 2023",1,0.0061,0,7,0
kZTDaR8o6uo,Minecraft Gameplay || Python Language || Ursina Engine || 3D Games || #imvickykumar999,"Mar 9, 2023",1,0.0009,0,37,0
r7co-iSViSQ,Bella Ciao || Guitar 🎸 || #imvickykumar999,"Jul 9, 2021",1,0.0164,0,2,0
rU_Y9ilkS7g,Mobile App || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",1,0.0028,0,4,25
0nwtxJk7_fU,Papi,"Jan 12, 2023",0,0,0,2,0
5eXNiiE9p_U,Devil Look,"Feb 13, 2022",0,0,0,1,0
F06HlrMgl8Q,uwu,"Nov 3, 2022",0,0,0,2,0
FlktPZTxCq4,Video Colorization || Mera Juta hai Japani Song,"Jan 25, 2023",0,0,0,6,0
Ie_wmTVKKkQ,"Control Diwali Decorative Lights via Android App using Arduino, Relay and HC05 Bluetooth Module","Oct 18, 2022",0,0,0,2,0
JpDZO1aduKw,Everyday Normal Guy,"Nov 16, 2022",0,0,0,2,0
OWBuQLCtJU0,Apun bola tu meri Laila || Applied YOLO || #imvickykumar999,"Aug 15, 2021",0,0,0,1,0
SCvuIxeyTkA,9 November 2021,"Nov 16, 2022",0,0,0,2,0
U4DAl20O0Q0,VR Theme Park || 3 Screen Car Racing Game || #Jaipur || #imvickykumar999,"Oct 31, 2022",0,0,0,3,0
VJm2Vq5l-ZY,VR Theme Park || #Jaipur || VR Jump from Building || #imvickykumar999,"Oct 31, 2022",0,0,0,3,0
YrG15hg9qQo,Pencil Sketch || #imvickykumar999,"Jan 23, 2023",0,0,0,3,0
_UKSLz9Tn5M,Automate Charging Device with Arduino and Relay.,"Sep 7, 2022",0,0,0,5,0
_s-SZbdjAFw,🔥 YOLO Object Detection || Kaccha Badam Song 😜,"Feb 14, 2022",0,0,0,1,0
aDLoiRYQb6I,Lightening captured from 18th Floor || Sky 25 || #imvickykumar999,"Sep 2, 2022",0,0,0,2,0
b4-qNdTeMAA,ESP32 LED Controller App,"Nov 8, 2022",0,0,0,4,0
bH1ylRCsyNg,Mirror image,"Feb 26, 2018",0,0,0,2,0
bx1xht5Feqc,Bhag dk bose dekhta Sidha sadha ldka || speedy king || #Rap song 2021 II #imvickykumar999 || #edited,"Jul 28, 2022",0,0,0,3,0
e4H43r5XZeo,Wednesday Addams || Hand Things with OpenCV,"Dec 12, 2022",0,0,0,2,0
gJHtGO9lUz4,#imvickykumar999 || Sketching,"Jan 31, 2023",0,0,0,6,0
ob0g8FWTus8,Bluetooth Android App for Home Automation,"Jun 3, 2022",0,0,0,1,0
ouQKoHwUt54,Wednesday Addams Hand,"Dec 12, 2022",0,0,0,2,0
vQVPPB0rqZo,❣️ Home Automation Project || #imvickykumar999 || ❣️ Automate any AC Appliances using Android App ❣️,"May 9, 2022",0,0,0,4,0
wHJdRokz9kw,Wednesday Addams,"Dec 16, 2022",0,0,0,5,0
xLTibMUUlgQ,🪙 Coin Collection of Different Countries 🎊 || #imvickykumar999,"Oct 29, 2022",0,0,0,2,0
yAACUDZDBBQ,Automate Mobile Charging and Home Automation with ESP32 and Relay.,"Feb 28, 2023",0,0,0,10,0
-fxhlR-3R5E,Donald Trump is enjoying on America's Got Talent.,"Feb 26, 2018",,,,2,0
-kxliGE0XL8,Home Automation || Create Home Automation from Playlist || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,3,0
1VET_AXVM_Q,Nehle pe dehla.,"Feb 26, 2018",,,,2,0
1ojV4UJWD6U,COWIN || Send Excel Data on E-Mail || Check Center and Slots Availability || Website,"Jun 7, 2021",,,,3,0
1xKz11LIzo0,Just Cause 2 || GamePlay || #imvickykumar999,"Aug 6, 2022",,,,6,0
1ySJzirwGP8,Beautiful Drizzle morning || #imvickykumar999,"Sep 23, 2018",,,,2,0
2GSKctnkUvw,Failure does not mean I'm failure,"Jan 27, 2018",,,,2,0
5MShUTijpx4,Just Cause 2 || NFS  MW 2012,"Jun 20, 2021",,,,3,0
6W2738nO_hM,Varsha Tanwar,"Aug 15, 2021",,,,14,0
6y9B7BP6gc8,Thunderstorm ⚡ and Chai ☕ || #imvickykumar999,"Jul 11, 2021",,,,4,0
76txRBg07AY,Nose Filter | OpenCV | Python | Vicky kumar || #imvickykumar999,"Mar 30, 2020",,,,3,0
8OqbWLM0c1g,Hackathon || Real Time Car Parking System Website along with Hardwares,"Apr 5, 2021",,,,5,0
93KltxO7Qhg,AC Appliances Controlled via Bluetooth using Android App.,"May 16, 2022",,,,4,0
98EGQvmvvNQ,Beautiful cloudy sunset. || #imvickykumar999,"Oct 3, 2018",,,,2,0
9fb2I7iDX70,#YashrajMukhate #rc | aur ye hmari pawriii hori he | Yashraj Mukhate | Dialogue With Beats | NodeMCU,"Feb 14, 2021",,,,2,0
9glHC8cVWzE,IFTTT || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,7,0
CSulY72GiX4,Read Google Spreadsheets with Python || #imvickykumar999,"Jan 24, 2022",,,,6,0
Cpc_rHf1U6g,NFS MW 2012 || Gameplay || #imvickykumar999,"May 19, 2021",,,,4,0
E9ZndAkHoJ0,NFS MW 2012,"Jun 15, 2021",,,,2,0
E_xGAqNLkd0,Website using flask || #imvickykumar999 || vixuploader : python package index,"Nov 16, 2020",,,,2,0
Ebp9P_gFcS8,Just Cause 2 || Crashing Everything,"Feb 27, 2023",,,,9,0
EfSzS0PY3jw,Deployed IOTLED || Create Home Automation || Fully Explained || Ok Google || #imvickykumar999,"May 14, 2021",,,,3,0
Hq9rX0HZyGc,Mario and Just Cause 2,"Dec 10, 2022",,,,8,0
Iyx1bUnXACk,Hermoso paisaje,"Oct 2, 2021",,,,1,0
KFfV_f87KIE,Arduino || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,4,0
KT54NGvS8j0,Mickey mouse,"Feb 28, 2023",,,,3,0
Lbu70vVqm-k,Demo Adafruit || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,4,0
MdY8C11IMAk,Everyday Normal Guy || Slowed,"Jun 3, 2022",,,,4,0
NKYwFkm0oeI,Copy of NFS MW 2012 || Gameplay || #imvickykumar999,"Feb 28, 2023",,,,7,0
NLLwMLcrHrg,#helpful 😍😍 code protect from overcharging... and safe lapi battery. #imvickykumar999,"Mar 30, 2020",,,,3,0
NktoBxYTqhU,PYPI Package || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,4,0
NmZfq5YYZas,Duolingo || Linguistic || Ukraine || Russian || Hindi || Arabic || Korean || #imvickykumar999,"Oct 31, 2022",,,,5,0
OOsge1dLaAo,ISKCON TEMPLE || Amer || Jalmahal || Galta Ji || Weekend Tour || #imvickykumar999,"Aug 15, 2021",,,,1,0
Ouuh0L5K9aY,Happy holi song,"Mar 2, 2018",,,,2,0
QWFoU7LBhxI,Calculation of Speed of RAM execution,"Dec 28, 2019",,,,2,0
SCHrtslYZTE,Valentine Day,"Mar 2, 2018",,,,2,0
T2HQVZoZgfg,Android || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,6,0
Tr1iJ99zrbY,Just Cause 2 || Airplane || Helicopter || Floating Bar,"Feb 12, 2022",,,,4,0
UbS__YmNclA,Principal and Teachers Meeting Day,"Sep 29, 2021",,,,5,0
UzL8IeJW5U8,Just Cause 2 || Airplane || Helicopter || Floating Bar,"Jul 24, 2021",,,,3,0
Xv54v0WcrVg,Challenge,"Feb 26, 2018",,,,2,0
Z3snX2FbESw,Singapore $1 | Thunder || #imvickykumar999,"Jun 25, 2020",,,,1,0
aQeAoKNpupI,Happy birthday song with piano app... || #imvickykumar999,"Jan 21, 2018",,,,3,0
aX2VsNpTSVc,Dangle,"Feb 26, 2018",,,,2,0
c5OYWOxultw,Moral from Tumbbad Movie : Greed is Curse,"Aug 27, 2022",,,,5,0
cBRQee7LWQ0,Just Cause 2 || Airplane || Helicopter || Floating Bar,"Jul 25, 2021",,,,3,0
dWeHpo9P7Sc,JC2 GamePlay,"Aug 14, 2022",,,,7,0
dZfGZitSNlw,Good morning.....4 those who sleeps late. || #imvickykumar999,"Jan 19, 2018",,,,1,0
dp85uFPBYCA,Solving 2x2 Rubix Cube,"Feb 26, 2023",,,,4,0
eeZB80pLPP8,Vixtor Python Package || Helpful functions in solving 3D vector || #imvickykumar999 || Explained,"Sep 26, 2020",,,,7,0
g81qeK0EkSo,Performance of a Singer from Bhankrota in Bus,"Nov 8, 2022",,,,12,0
h3UZr5urETw,Just Cause 2,"Jul 22, 2021",,,,3,0
hAKJlAVD0DY,Just Cause 2,"Jul 23, 2021",,,,4,0
iL4UBDhijJE,#vickshare || #github || encrypted || #imvickykumar999 || open URL file || #flask || #vicksnews,"Dec 25, 2020",,,,6,0
ikM9s81s45o,Helping others,"Dec 16, 2017",,,,2,0
j7TVm_cD_xU,MR. INDIA #invisible | OpenCV | Python || #imvickykumar999,"Mar 30, 2020",,,,2,0
k64OkkXqbwk,Just Cause 2 || Airplane || Helicopter || Floating Bar,"Jul 23, 2021",,,,4,0
kKoK-NLEWhE,Just Cause 4,"Feb 28, 2023",,,,5,0
kNevEOawpck,Solving 2x2 and 3x3 Rubix Cube on App,"Feb 25, 2023",,,,4,0
lUww1YLtgqA,Just Cause 2 || #imvickykumar999 || GamePlay,"Aug 7, 2022",,,,3,0
m-7SEgPW8DU,Dance,"Feb 9, 2018",,,,2,0
nQ5gN77cxck,Just Cause 2,"Jun 17, 2021",,,,3,0
qrsE04YXnwo,Loco: I played first time...😁😁😅,"Feb 18, 2018",,,,2,0
sZ3r2GRfER0,Light Demo || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,4,0
sx_GVyYQud0,NFS MW 2012 || Car Racing || Need For Speed || #imvickykumar999,"Mar 20, 2021",,,,2,0
syFvnq4prMA,JC2 Game Play,"Dec 26, 2021",,,,4,0
tcHJuQYPUNs,firebase || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,8,0
ucLBOMLMCaE,Adafruit || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,3,0
v6ERtwJebJE,Just Cause 2 || Airplane || Helicopter || Floating Bar,"Jul 23, 2021",,,,3,0
vRSSGjDBXpI,New Year celebration in Kalu Sarai. Delhi.,"Jan 4, 2018",,,,2,0
vv635lZ5fwU,Akshay Dogra ( Devil ),"Jun 1, 2021",,,,14,0
yXe-vCPSC-o,Github || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,"May 14, 2021",,,,4,0
ylJ19bfMPo8,Automate Home 💡 and Manage Mobile Charging ⚡ || #imvickykumar999,"Dec 6, 2022",,,,5,0
ymNAtLi_wos,Renewing phone,"Feb 9, 2018",,,,2,0
zKKjxTDpiec,NFS MW 2012 || #imvickykumar999,"Feb 28, 2023",,,,9,0
